Season,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note1,Note2,Note3,WinStreak
1987,21-Nov,@,Northwestern,L,10,28,,,,0
1986,6-Sep,vs.,Louisville,W,23,0,,,,0
1986,13-Sep,@,Southern California,L,16,31,,,,0
1986,20-Sep,vs.,Nebraska,L,14,59,,,,0
1986,4-Oct,@,Ohio State,L,0,14,,,,1
1986,11-Oct,vs.,Purdue,W,34,27,,,,0
1986,18-Oct,vs.,Michigan State,L,21,29,,,,6
1986,25-Oct,@,Wisconsin,L,9,15,,,,5
1986,1-Nov,@,Michigan,L,13,69,,,,0
1986,8-Nov,vs.,Iowa,W,20,16,,,,0
1986,15-Nov,@,Indiana,W,21,16,,,,5
1986,22-Nov,vs.,Northwestern,L,18,23,,,,7
1985,7-Sep,vs.,Southern California,L,10,20,,,,0
1985,14-Sep,vs.,Southern Illinois,W,28,25,,,,0
1985,21-Sep,@,Nebraska,L,25,52,,,,0
1985,5-Oct,vs.,Ohio State,W,31,28,,,,0
1985,12-Oct,@,Purdue,L,24,30,,,,3
1985,19-Oct,@,Michigan State,W,30,17,,,,5
1985,26-Oct,vs.,Wisconsin,W,38,25,,,,4
1985,2-Nov,vs.,Michigan,T,3,3,,,,0
1985,9-Nov,@,Iowa,L,0,59,,,,0
1985,16-Nov,vs.,Indiana,W,41,24,,,,4
1985,23-Nov,@,Northwestern,W,45,20,,,,6
1985,31-Dec,vs.,Army,L,29,31,@ Atlanta, GA,Peach Bowl,0
1984,1-Sep,vs.,Northwestern,W,24,16,,,,5
1984,8-Sep,vs.,Missouri,W,30,24,,,,0
1984,15-Sep,@,Stanford,L,19,34,,,,1
1984,22-Sep,vs.,Michigan State,W,40,7,,,,4
1984,29-Sep,@,Iowa,L,16,21,,,,1
1984,6-Oct,vs.,Wisconsin,W,22,6,,,,3
1984,13-Oct,@,Ohio State,L,38,45,,,,1
1984,20-Oct,vs.,Purdue,W,34,20,,,,2
1984,27-Oct,@,Michigan,L,18,26,,,,1
1984,3-Nov,vs.,Minnesota,W,48,3,,,,3
1984,10-Nov,vs.,Indiana,W,34,7,@ Indianapolis, IN,,3
1983,2-Jan,vs.,UCLA,L,9,45,@ Pasadena, CA,Rose Bowl,0
1983,10-Sep,@,Missouri,L,18,28,,,,0
1983,17-Sep,vs.,Stanford,W,17,7,,,,0
1983,24-Sep,@,Michigan State,W,20,10,,,,3
